DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2021,2674866,e,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2022,2679000,ep,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2023,2998174,ep,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2012,13845,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2013,13893,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2014,15486,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2015,16305,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2016,18082,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2017,16973,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2018,19141,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2019,17263,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2020,15084,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2021,13459,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2022,15635,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2023,15322,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2012,255922,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2013,239813,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2014,308103,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2015,324517,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2016,313622,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2017,215470,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2018,188740,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2019,259143,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2020,191893,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2021,147051,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2022,279833,p,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2023,266368,p,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2012,12877,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2013,15262,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2014,20858,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2015,29651,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2016,36436,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2017,47352,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2018,39515,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2019,40148,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2020,34046,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2021,40424,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2022,46287,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2023,39218,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2012,22880,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2013,34691,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2014,42213,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2015,43225,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2016,39889,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2017,39829,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2018,48178,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2019,49795,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2020,67364,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2021,67999,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2022,58408,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2023,71369,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2012,81797,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2013,76560,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2014,71107,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2015,67160,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2016,55507,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2017,58788,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2018,50258,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2019,51410,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2020,51313,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2021,53673,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2022,61133,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2023,75020,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2012,4758,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2013,4372,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2014,4052,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2015,4046,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2016,4159,,
