DATAFLOW,LAST UPDATE,freq,citizen,sex,unit,age,asyl_app,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Finland,2021,2525,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Finland,2022,5780,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Finland,2023,5335,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Finland,2024,2915,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,2013,66265,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,2014,64310,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,2015,76165,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,2016,84270,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,2017,99330,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,2018,137665,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,2019,151070,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,2020,93200,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,2021,120685,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,2022,156455,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,2023,166940,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,2024,157850,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Croatia,2013,1080,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Croatia,2014,450,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Croatia,2015,210,,
ESTAT:TPS00191(1.0),07/04/25 11:00:00,Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Croatia,2016,2225,,
