DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,asyl_app,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Denmark,2025-02,135,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Estonia,2024-04,120,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Estonia,2024-05,125,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Estonia,2024-06,90,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Estonia,2024-07,120,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Estonia,2024-08,95,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Estonia,2024-09,90,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Estonia,2024-10,110,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Estonia,2024-11,95,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Estonia,2024-12,80,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Estonia,2025-01,125,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Estonia,2025-02,100,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Greece,2024-04,4330,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Greece,2024-05,3535,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Greece,2024-06,5125,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Greece,2024-07,6370,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Greece,2024-08,6780,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Greece,2024-09,7090,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Greece,2024-10,8465,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Greece,2024-11,8500,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Greece,2024-12,6685,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Greece,2025-01,5970,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Spain,2024-04,15590,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Spain,2024-05,16475,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Spain,2024-06,15000,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Spain,2024-07,12050,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Spain,2024-08,10755,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Spain,2024-09,12735,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Spain,2024-10,16030,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Spain,2024-11,15135,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Spain,2024-12,11330,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Spain,2025-01,13380,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Spain,2025-02,12975,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,European Union - 27 countries (from 2020),2024-04,84535,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,European Union - 27 countries (from 2020),2024-05,84260,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,European Union - 27 countries (from 2020),2024-06,77940,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,European Union - 27 countries (from 2020),2024-07,82985,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,European Union - 27 countries (from 2020),2024-08,76710,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,European Union - 27 countries (from 2020),2024-09,83240,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,European Union - 27 countries (from 2020),2024-10,94545,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,European Union - 27 countries (from 2020),2024-11,81605,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,European Union - 27 countries (from 2020),2024-12,68740,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,2024-04,205,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,2024-05,245,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,2024-06,210,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,2024-07,230,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,2024-08,235,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,2024-09,260,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,2024-10,270,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,2024-11,220,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,2024-12,230,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,2025-01,175,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,2025-02,185,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,2025-03,170,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,France,2024-04,12960,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,France,2024-05,12465,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,France,2024-06,12610,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,France,2024-07,13325,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,France,2024-08,11865,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,France,2024-09,13505,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,France,2024-10,15500,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,France,2024-11,13425,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,France,2024-12,13400,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,France,2025-01,14360,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,France,2025-02,13065,,
